Txn No.,Txn Date,Description,Branch Name,Cheque No.,Dr Amount,Cr Amount,Balance,KIMS Remarks
S26810305,09-12-2024,"NRTGS/HDFCR5202
4120969158500/KHA
NDELWAL DECOR
WORL",-,,,"16,41,321.00","20,72,59,477.
96 Dr.",
S26824227,09-12-2024,"NRTGS/HDFCR5202
4120969263865/KHA
NDELWAL DECOR
WORL",-,,,"16,54,969.00","20,56,04,508.
96 Dr.",
S27685910,09-12-2024,"NRTGS/PUNBR5202
4120915871169/5184
116980/JINDAL IND",-,,"2,00,00,000.0
0",,"22,56,04,508.
96 Dr.",
S28750492,09-12-2024,"NRTGS/UCBAR5202
4120900943894/FLO
WMECH
SOLUTIONS",-,,,"10,69,124.00","22,45,35,384.
96 Dr.",
S38923892,10-12-2024,"NEFT_IN:POD04514
8705/0020/ INDIAN
TUBES",-,,,"14,90,864.00","22,30,44,520.
96 Dr.",
S40280379,10-12-2024,"NRTGS/CNRBR5202
4121094865551/MS
AANE BOREWELLS",-,,,"5,00,000.00","22,25,44,520.
96 Dr.",
S42294658,10-12-2024,"NEFT_IN:N34524344
6653118/0021/
BHAUKA TRADING
COMPANY",-,,,"1,01,834.00","22,24,42,686.
96 Dr.",
S42672883,10-12-2024,"NRTGS/CBINR12024
121010001860/M S
PIPE DISTRIBUTOR",-,,,"7,92,423.00","22,16,50,263.
96 Dr.",
S43213295,10-12-2024,"From:XXXX3550:SHA
NTI ENTERPRISES",-,,,"5,52,402.00","22,10,97,861.
96 Dr.",
S44177059,10-12-2024,"NEFT_IN:001776665
185/0023/ N R S
ENTERPRISES",-,,,"1,30,000.00","22,09,67,861.
96 Dr.",
S45301894,10-12-2024,"NEFT_IN:385642387
31DC/0024/
ASHWANI KUMAR
MADAN",-,,,"9,65,752.00","22,00,02,109.
96 Dr.",
S45746653,10-12-2024,"NRTGS/UBINR22024
121001904743/RJ
PROJECTS PVT LTD",-,,,"18,77,706.00","21,81,24,403.
96 Dr.",
S45925721,10-12-2024,"NRTGS/CNRBR5202
4121094877227/SHIB
DASS AND SONS PV",-,,,"12,59,615.00","21,68,64,788.
96 Dr.",
S45945806,10-12-2024,"NRTGS/KKBKR2202
4121015041371/PIPE
TRADERS",-,,,"12,89,505.00","21,55,75,283.
96 Dr.",
S46009263,10-12-2024,"NRTGS/KKBKR2202
4121015041416/PIPE
TRADERS",-,,,"7,24,658.00","21,48,50,625.
96 Dr.",
M428596,10-12-2024,"PRABH DAYAL
-485100","BARAN,GOVT HIGH
SCHOOL (PB)",,,"7,31,783.00","21,41,18,842.
96 Dr.",
S47025944,10-12-2024,"NEFT_IN:N34524344
7012486/0025/ SHAM
PIPE AND IRON
STORE",-,,,"12,50,000.00","21,28,68,842.
96 Dr.",
S49427719,10-12-2024,"NRTGS/YESBR1202
4121000017210/SHR
EE KARNI TRADERS
F",-,,,"16,16,222.00","21,12,52,620.
96 Dr.",
S49438163,10-12-2024,"NRTGS/YESBR1202
4121000018112/SHR
EE KARNI TRADERS
F",-,,,"24,27,427.00","20,88,25,193.
96 Dr.",
S49693991,10-12-2024,"NRTGS/HDFCR5202
4121069297927/BOM
BAY HARDWARE
PRIVA",-,,,"6,69,392.00","20,81,55,801.
96 Dr.",
S49998307,10-12-2024,"NRTGS/ICICR420241
21000525346/SUPER
IOR STEEL INDUST",-,,,"4,53,620.00","20,77,02,181.
96 Dr.",
S51402449,10-12-2024,"NRTGS/HDFCR5202
4121069375753/H S
D AND SONS",-,,,"4,50,000.00","20,72,52,181.
96 Dr.",
S52903650,10-12-2024,"NRTGS/KKBKR2202
4121015046105/AJA
Y PIPE COMPANY",-,,,"6,22,608.00","20,66,29,573.
96 Dr.",
S53050260,10-12-2024,"BY INST 3584 :
CTO411-1 DAY  LAT",-,,,"5,00,000.00","20,61,29,573.
96 Dr.",
S53236245,10-12-2024,"NRTGS/SBINR12024
121068393576/KB
FIRE AND ENGG
WORK",-,,,"12,44,889.00","20,48,84,684.
96 Dr.",
S53505353,10-12-2024,"NRTGS/SBINR52024
121068366982/PIPE
TRADERS",-,,,"11,96,888.00","20,36,87,796.
96 Dr.",
S53633471,10-12-2024,"NRTGS/AUBLR62024
121095247900/BHAG
WANTI
ENTERPRISES",-,,,"17,89,552.00","20,18,98,244.
96 Dr.",
S55127839,10-12-2024,"NRTGS/HDFCR5202
4121069470598/VINA
YAK PIPES AND TUB",-,,,"19,62,164.00","19,99,36,080.
96 Dr.",
S55593019,10-12-2024,"NRTGS/BARBR5202
4121000877110/MAN
I STEELS",-,,,"5,00,000.00","19,94,36,080.
96 Dr.",
S55596015,10-12-2024,"NRTGS/HDFCR5202
4121069414812/BAN
T RAM AMRIT LAL
AN",-,,,"4,47,839.00","19,89,88,241.
96 Dr.",
S56132663,10-12-2024,"NRTGS/SCBLR12024
121000810778/BHAR
AT TUBES
CORPORAT",-,,,"18,20,458.00","19,71,67,783.
96 Dr.",
S56144998,10-12-2024,"NRTGS/PUNBR5202
4121015901759/5184
243167/JSW DOLVI",-,,"2,00,00,000.0
0",,"21,71,67,783.
96 Dr.",
S56196468,10-12-2024,"NRTGS/PUNBR5202
4121015901868/5184
243210/JSW DOLVI",-,,"76,00,000.00",,"22,47,67,783.
96 Dr.",
S56210810,10-12-2024,"NRTGS/PUNBR5202
4121015901928/5184
243262/JSW Steel",-,,"2,00,00,000.0
0",,"24,47,67,783.
96 Dr.",
S56247094,10-12-2024,"NRTGS/PUNBR5202
4121015902012/5184
243293/JSW Steel",-,,"2,00,00,000.0
0",,"26,47,67,783.
96 Dr.",
S56288055,10-12-2024,"NRTGS/PUNBR5202
4121015902097/5184
243323/JSW Steel",-,,"1,00,00,000.0
0",,"27,47,67,783.
96 Dr.",
S57052721,10-12-2024,"NRTGS/HDFCR5202
4121069472935/M B
TUBES PRIVATE LIM",-,,,"18,02,504.00","27,29,65,279.
96 Dr.",
S57449384,10-12-2024,"NRTGS/IOBAR52024
121000597043/HARB
ANS LAL AND SONS",-,,,"12,45,279.00","27,17,20,000.
96 Dr.",
S57475481,10-12-2024,"NRTGS/PSIBR22024
121000291715/AJAY
PIPE COMPANY",-,,,"29,00,000.00","26,88,20,000.
96 Dr.",
S57876664,10-12-2024,"NRTGS/HDFCR5202
4121069483200/JIND
AL PIPE INDUSTRIE",-,,,"3,29,664.00","26,84,90,336.
96 Dr.",
S57951876,10-12-2024,"NEFT_IN:385686096
61DC/0032/ BAKSHI
BROS. AGENCIE",-,,,"15,00,000.00","26,69,90,336.
96 Dr.",
S58175193,10-12-2024,"NRTGS/KKBKR5202
4121000925313/ADI
PIPE AND FITTINGS",-,,,"20,08,197.00","26,49,82,139.
96 Dr.",
S58479181,10-12-2024,"NRTGS/HDFCR5202
4121069365882/SHIB
DASS   SONS PRIV",-,,,"13,77,237.00","26,36,04,902.
96 Dr.",
S59277144,10-12-2024,"NRTGS/ICICR220241
21006666212/JINDAL
STAINLESS LIMI",-,,,"5,37,715.10","26,30,67,187.
86 Dr.",
S61922632,10-12-2024,"NEFT_IN:385700956
71DC/0034/ TUBE
TRADING COMPANY",-,,,"75,000.00","26,29,92,187.
86 Dr.",
S63529451,10-12-2024,"NRTGS/SBINR12024
121068433244/DURG
A ENTERPRISES",-,,,"20,00,000.00","26,09,92,187.
86 Dr.",
S64174136,10-12-2024,"From:XXXX1464:RAJ
ESH STEELS",-,,,"2,66,360.00","26,07,25,827.
86 Dr.",
S64620120,10-12-2024,"NRTGS/ICICR420241
21000554285/EMMA
R STEEL
CORPORATI",-,,,"3,47,222.00","26,03,78,605.
86 Dr.",
S68741127,10-12-2024,"NEFT_IN:001777391
951/0037/ R.K.
DISTRIBUTORS",-,,,"50,00,000.00","25,53,78,605.
86 Dr.",
S69376586,10-12-2024,"NRTGS/YESBR1202
4121000025359/DEL
HI TUBES AND
PIPES",-,,,"25,00,000.00","25,28,78,605.
86 Dr.",
S69699219,10-12-2024,"NRTGS/UTIBR62024
121088007113/VEER
BROTHERS STEEL",-,,,"17,93,259.00","25,10,85,346.
86 Dr.",
M1306470,10-12-2024,"MS PRABH DAYAL
OM PARKASH
-351300","JALLANDHAR,OLD
RAILWAY ROAD",,,"17,44,924.00","24,93,40,422.
86 Dr.",
S70247490,10-12-2024,"NRTGS/HDFCR5202
4121069473390/MAD
RAS STEELS AND
TUB",-,,,"90,37,464.00","24,03,02,958.
86 Dr.",
S71124394,10-12-2024,"NRTGS/HDFCR5202
4121069637390/SIYA
TRADING COMPANY",-,,,"6,72,666.00","23,96,30,292.
86 Dr.",
S72209099,10-12-2024,"NRTGS/HDFCR5202
4121069584332/ABHI
SHEK SALES",-,,,"15,00,000.00","23,81,30,292.
86 Dr.",
S73374859,10-12-2024,"NRTGS/BARBR5202
4121000908564/U K
AND  SONS",-,,,"11,79,269.00","23,69,51,023.
86 Dr.",
S74970381,10-12-2024,"NEFT_IN:KKBKH243
45617674/0040/
INTEGRATED
SOLUTIONS",-,,,"10,00,000.00","23,59,51,023.
86 Dr.",
S78323895,10-12-2024,"NRTGS/SBINR12024
121068460497/AMRI
TNATH STEEL",-,,,"19,00,000.00","23,40,51,023.
86 Dr.",
S79107817,10-12-2024,"NRTGS/HDFCR5202
4121069614409/SHR
EE GANESH TUBES
SU",-,,,"11,58,718.00","23,28,92,305.
86 Dr.",
S79972722,10-12-2024,"NRTGS/PUNBR5202
4121015919109/5184
287189/JINDAL IND",-,,"1,00,00,000.0
0",,"24,28,92,305.
86 Dr.",
S79979646,10-12-2024,"NRTGS/PUNBR5202
4121015919114/5184
286795/JINDAL IND",-,,"2,00,00,000.0
0",,"26,28,92,305.
86 Dr.",
S80243553,10-12-2024,"DBTRDecember/2881
878",-,,"71,750.00",,"26,29,64,055.
86 Dr.",
S82994459,11-12-2024,"NEFT_IN:385771769
91DC/0010/ RAJESH
SALES CORPORA",-,,,"8,73,196.00","26,20,90,859.
86 Dr.",
S86089596,11-12-2024,"NRTGS/HDFCR5202
4121169597363/DEL
HI TUBES AND
PIPES",-,,,"14,50,000.00","26,06,40,859.
86 Dr.",
S88951369,11-12-2024,"IMPS-
IN/434673250029/932
4143357/VIKRAM A",-,,,"5,00,000.00","26,01,40,859.
86 Dr.",
S90243013,11-12-2024,"NRTGS/HDFCR5202
4121169673337/VOR
A AND CO",-,,,"32,14,920.00","25,69,25,939.
86 Dr.",
S90992317,11-12-2024,"NRTGS/KKBKR1202
4121100667218/GAZ
TECH
ENGINEERING P",-,,,"5,60,000.00","25,63,65,939.
86 Dr.",
S92172573,11-12-2024,"NEFT_IN:N34624344
9327389/0021/
MANSINGHKA
STORES",-,,,"25,43,648.00","25,38,22,291.
86 Dr.",
S94666602,11-12-2024,"NRTGS/HDFCR5202
4121169711073/SHRI
VARDHMAN TUBE
CO",-,,,"22,51,505.00","25,15,70,786.
86 Dr.",
S94798400,11-12-2024,"NRTGS/HDFCR5202
4121169711247/SHRI
VARDHMAN TUBE
CO",-,,,"22,52,145.00","24,93,18,641.
86 Dr.",
S95286726,11-12-2024,"NEFT_IN:IDFBH2434
6764603/0023/
SHANKARA
BUILDING
PRODUCTS LTD",-,,,"89,20,027.00","24,03,98,614.
86 Dr.",
S96068369,11-12-2024,"NRTGS/HDFCR5202
4121169749767/ISHA
TUBES AND
STRUCT",-,,,"19,59,900.00","23,84,38,714.
86 Dr.",
S97627420,11-12-2024,"NRTGS/SBINR12024
121168493030/SRI
RAM INDUSTRIES",-,,,"2,36,614.00","23,82,02,100.
86 Dr.",
S97650123,11-12-2024,"NRTGS/HDFCR5202
4121169702518/BOM
BAY HARDWARE
PRIVA",-,,,"7,97,441.00","23,74,04,659.
86 Dr.",
S97643810,11-12-2024,"NRTGS/HDFCR5202
4121169702558/BOM
BAY HARDWARE
PRIVA",-,,,"5,54,404.00","23,68,50,255.
86 Dr.",
S1250840,11-12-2024,"NEFT_IN:YESME434
62195326/0027/
HINDUSTAN
TECHNO PROJECTS
PRIVATE L",-,,,"10,00,000.00","23,58,50,255.
86 Dr.",
S1486851,11-12-2024,"NRTGS/HDFCR5202
4121169709793/CHO
PDASTEELTUBEPVT
LTD",-,,,"7,00,000.00","23,51,50,255.
86 Dr.",
S1933719,11-12-2024,"BY INST 3597 :
CTO411-1 DAY  LAT",-,,,"10,00,000.00","23,41,50,255.
86 Dr.",
S2388627,11-12-2024,"NRTGS/PSIBR22024
121100428483/AJAY
PIPE COMPANY",-,,,"12,50,000.00","23,29,00,255.
86 Dr.",
S3172281,11-12-2024,"NEFT_IN:SBIN22434
6513207/0028/ ASHA
FIRE PROTECTION
ENGINEERS",-,,,"29,99,976.40","22,99,00,279.
46 Dr.",
S4992654,11-12-2024,"NRTGS/INDBR32024
121100780027/SHRE
E MARUTINANDAN
TU",-,,,"26,23,892.00","22,72,76,387.
46 Dr.",
S6105686,11-12-2024,"NRTGS/CBINR52024
121110008930/M S
PIPE DISTRIBUTOR",-,,,"19,58,992.00","22,53,17,395.
46 Dr.",
S6770411,11-12-2024,"NRTGS/JAKAR52024
121100043222/JVL
STEEL PRIVATE LIM",-,,,"20,46,385.00","22,32,71,010.
46 Dr.",
S7534002,11-12-2024,"NRTGS/ICICR420241
21100535858/GOYAL
STEEL TUBES",-,,,"5,72,932.00","22,26,98,078.
46 Dr.",
S7777247,11-12-2024,"NRTGS/SCBLR12024
121100810540/BHAR
AT TUBES
CORPORAT",-,,,"22,22,806.00","22,04,75,272.
46 Dr.",
S8451384,11-12-2024,"NRTGS/ICICR520241
21100224570/LOKES
H STEEL TUBES",-,,,"4,15,338.00","22,00,59,934.
46 Dr.",
S8743109,11-12-2024,"NRTGS/KARBR5202
4121100539695/TUB
E SYNDICATE",-,,,"14,54,941.00","21,86,04,993.
46 Dr.",
S9155190,11-12-2024,"NRTGS/HDFCR5202
4121169739638/SHIB
DASS   SONS PRIV",-,,,"11,94,836.00","21,74,10,157.
46 Dr.",
S11940183,11-12-2024,"NEFT_IN:IN1ON2412
1103OXL/0033/
MOKSHI
INDUSTRIES
PRIVATE LIMITED",-,,,"33,410.00","21,73,76,747.
46 Dr.",
S12008803,11-12-2024,"NRTGS/ICICR220241
21106690677/JINDAL
STAINLESS LIMI",-,,,"3,57,736.51","21,70,19,010.
95 Dr.",
S12018254,11-12-2024,"NRTGS/HDFCR5202
4121169883205/JIND
AL PIPE INDUSTRIE",-,,,"20,09,057.00","21,50,09,953.
95 Dr.",
S15395885,11-12-2024,"NRTGS/FDRLR52024
121100264553/JINDA
L PIPE INDUSTRIE",-,,,"21,42,699.00","21,28,67,254.
95 Dr.",
S15741708,11-12-2024,"NEFT_IN:N34624345
0066780/0035/
MADRAS STEELS
AND TUBES",-,,,"18,48,737.00","21,10,18,517.
95 Dr.",
S15852027,11-12-2024,"IMPS-
IN/434617909114/701
5869792/PROJECT",-,,,"3,00,000.00","21,07,18,517.
95 Dr.",
S15884530,11-12-2024,"NRTGS/ICICR420241
21100551172/METR
OO PIPES AND
TUBE",-,,,"14,61,531.00","20,92,56,986.
95 Dr.",
S16428659,11-12-2024,"NEFT_IN:IDFBH2434
6835098/0035/
SHANKARA
BUILDING
PRODUCTS LTD",-,,,"25,70,697.00","20,66,86,289.
95 Dr.",
S16904044,11-12-2024,"NRTGS/UTIBR62024
121188189320/DURG
A ENTERPRISES  .",-,,,"10,00,000.00","20,56,86,289.
95 Dr.",
S17380237,11-12-2024,"NRTGS/CIUBR52024
121100408515/PION
EER TUBES",-,,,"50,00,000.00","20,06,86,289.
95 Dr.",
S18344276,11-12-2024,"NRTGS/HDFCR5202
4121169971375/ABHI
SHEK SALES",-,,,"15,00,000.00","19,91,86,289.
95 Dr.",
S19389497,11-12-2024,"NRTGS/HDFCR5202
4121169915464/KHA
NDELWAL DECOR
WORL",-,,,"23,68,839.00","19,68,17,450.
95 Dr.",
S19407844,11-12-2024,"NRTGS/HDFCR5202
4121169990222/FLUI
DCONENGINEERS",-,,,"21,47,376.00","19,46,70,074.
95 Dr.",
S19416120,11-12-2024,"NRTGS/HDFCR5202
4121169990176/KHA
NDELWAL DECOR
WORL",-,,,"18,06,816.00","19,28,63,258.
95 Dr.",
S19692022,11-12-2024,"IMPS-
IN/434618387003/981
2025979/JINDAL I",-,,,"5,00,000.00","19,23,63,258.
95 Dr.",
S20285365,11-12-2024,"NRTGS/ICICR420241
21100557025/INFRA
CORPORATION",-,,,"17,84,999.00","19,05,78,259.
95 Dr.",
S20286586,11-12-2024,"NRTGS/UBINR22024
121101050024/NIKET
GYANVI INFRA CO",-,,,"15,00,000.00","18,90,78,259.
95 Dr.",
S20389657,11-12-2024,"NRTGS/YESBR1202
4121100025040/JIND
AL INDUSTRIES PR",-,,,"1,00,00,000.0
0","17,90,78,259.
95 Dr.",
S20417428,11-12-2024,"NRTGS/YESBR1202
4121100025039/JIND
AL INDUSTRIES PR",-,,,"25,00,000.00","17,65,78,259.
95 Dr.",
S22536266,11-12-2024,"NEFT_IN:385864225
91DC/0038/ BAKSHI
BROS. AGENCIE",-,,,"10,00,000.00","17,55,78,259.
95 Dr.",
S27322195,11-12-2024,"NRTGS/UTIBR62024
121188215376/VEER
BROTHERS STEEL",-,,,"17,53,140.00","17,38,25,119.
95 Dr.",
S43224464,12-12-2024,"NRTGS/UBINR22024
121201060777/R.K.
DISTRIBUTORS",-,,,"30,00,000.00","17,08,25,119.
95 Dr.",
S45372808,12-12-2024,"NEFT_IN:AXOMB347
49064783/0023/
SHREE RAM
INDUSTRIES",-,,,"10,60,000.00","16,97,65,119.
95 Dr.",
S47926396,12-12-2024,"NRTGS/KKBKR1202
4121200911073/Radh
ika Pipes Pvt Ltd",-,,,"17,44,805.00","16,80,20,314.
95 Dr.",
S48025209,12-12-2024,"NRTGS/ICICR420241
21200516874/TUBES
PIPES INDIA PV",-,,,"22,60,643.00","16,57,59,671.
95 Dr.",
S49577245,12-12-2024,"NRTGS/HDFCR5202
4121270039072/SHRI
VARDHMAN TUBE
CO",-,,,"22,47,039.00","16,35,12,632.
95 Dr.",
S52723237,12-12-2024,"NRTGS/HDFCR5202
4121270160161/SHIB
DASS   SONS PRIV",-,,,"30,81,284.00","16,04,31,348.
95 Dr.",
S52975889,12-12-2024,"BY INST 3595 :
CTO411-1 DAY  LAT",-,,,"5,00,000.00","15,99,31,348.
95 Dr.",
S53264160,12-12-2024,"IMPS-
IN/434773855024/932
4143357/VIKRAM A",-,,,"3,89,713.00","15,95,41,635.
95 Dr.",
S53454575,12-12-2024,"NRTGS/UTIBR52024
121200356414/VIJAY
SALES CORPORATI",-,,,"24,71,808.00","15,70,69,827.
95 Dr.",
S53797233,12-12-2024,"NRTGS/UTIBR52024
121200356563/VIJAY
SALES CORPORATI",-,,,"23,97,068.00","15,46,72,759.
95 Dr.",
S55034103,12-12-2024,"NEFT_IN:N34724345
2052782/0029/ NIRJA
STEELS",-,,,"79,975.00","15,45,92,784.
95 Dr.",
S55431989,12-12-2024,"NRTGS/IDFBR52024
121200479174/GANE
SH TUBE
CORPORATI",-,,,"53,92,166.00","14,92,00,618.
95 Dr.",
S56155690,12-12-2024,"NRTGS/INDBR32024
121200810307/SHRE
E MARUTINANDAN
TU",-,,,"8,35,243.00","14,83,65,375.
95 Dr.",
S57030103,12-12-2024,"NRTGS/HDFCR5202
4121270235160/VAS
METALLICS
PRIVATE",-,,,"21,02,437.00","14,62,62,938.
95 Dr.",
S57296593,12-12-2024,"BY INST 16596 :
CTO361-1 DAY  LAT",-,,,"1,49,594.00","14,61,13,344.
95 Dr.",
S57720303,12-12-2024,"NRTGS/IDFBR52024
121200480322/BIND
AL PIPES PRIVATE",-,,,"11,00,000.00","14,50,13,344.
95 Dr.",
S58271346,12-12-2024,"NRTGS/JAKAR52024
121200008433/JVL
STEEL PRIVATE LIM",-,,,"37,69,544.00","14,12,43,800.
95 Dr.",
S58278295,12-12-2024,"NRTGS/JAKAR52024
121200008431/JVL
STEEL PRIVATE LIM",-,,,"13,87,754.00","13,98,56,046.
95 Dr.",
S58393049,12-12-2024,"NRTGS/SCBLR12024
121200811019/BHAR
AT TUBES
CORPORAT",-,,,"19,01,950.00","13,79,54,096.
95 Dr.",
S58933985,12-12-2024,"NRTGS/PSIBR22024
121200582145/AJAY
PIPE COMPANY",-,,,"10,00,000.00","13,69,54,096.
95 Dr.",
S59671974,12-12-2024,"NEFT_IN:BARBV243
47532467/0032/
TARA CHAND JAIN",-,,,"25,00,000.00","13,44,54,096.
95 Dr.",
S61329645,12-12-2024,"NRTGS/HDFCR5202
4121270291153/VOR
A AND CO",-,,,"12,02,789.00","13,32,51,307.
95 Dr.",
S61626496,12-12-2024,"NRTGS/HDFCR5202
4121270244199/SHRI
ANAND PIPE CENTR",-,,,"2,50,000.00","13,30,01,307.
95 Dr.",
S62325713,12-12-2024,"NEFT_IN:N34724345
2242503/0033/
MADRAS STEELS
AND TUBES",-,,,"38,39,521.00","12,91,61,786.
95 Dr.",
S62350549,12-12-2024,"NRTGS/ICICR220241
21206712647/JINDAL
STAINLESS LIMI",-,,,"4,90,910.90","12,86,70,876.
05 Dr.",
S62342609,12-12-2024,"NRTGS/KARBR5202
4121200764244/SRE
E VENKATESWARA
STR",-,,,"9,61,855.00","12,77,09,021.
05 Dr.",
S62352334,12-12-2024,"NEFT_IN:BARBV243
47613625/0033/
KRISHNA
REFRIGERATION",-,,,"10,05,290.00","12,67,03,731.
05 Dr.",
S62721656,12-12-2024,"NRTGS/UTIBR72024
121200077670/JINDA
L SAW LIMITED-EX",-,,,"31,22,478.00","12,35,81,253.
05 Dr.",
S62735918,12-12-2024,"NRTGS/UTIBR72024
121200077693/JINDA
L SAW LIMITED-EX",-,,,"2,37,686.00","12,33,43,567.
05 Dr.",
S63381110,12-12-2024,"NRTGS/HDFCR5202
4121270325769/JAY
ANT INFRA CO",-,,,"36,25,722.00","11,97,17,845.
05 Dr.",
S65110423,12-12-2024,"NRTGS/HDFCR5202
4121270284282/GOY
AL PIPE COMPANY",-,,,"7,00,000.00","11,90,17,845.
05 Dr.",
S66031333,12-12-2024,"IMPS-
IN/434717099441/981
4124755/AVINASH",-,,,"97,802.00","11,89,20,043.
05 Dr.",
S66701757,12-12-2024,"NRTGS/HDFCR5202
4121270323246/JAIN
PIPE STORE",-,,,"10,00,000.00","11,79,20,043.
05 Dr.",
S67049977,12-12-2024,"NRTGS/HDFCR5202
4121270294795/ZEE
L STEEL TUBES",-,,,"9,89,671.00","11,69,30,372.
05 Dr.",
S67460699,12-12-2024,"NRTGS/HDFCR5202
4121270229912/K
AND S INDUSTRIAL
CO",-,,,"6,23,139.00","11,63,07,233.
05 Dr.",
S68541490,12-12-2024,"NRTGS/IDFBR52024
121200484489/BIND
AL PIPES PRIVATE",-,,,"15,00,000.00","11,48,07,233.
05 Dr.",
S68560692,12-12-2024,"IMPS-
IN/434718352191/981
2025979/JINDAL I",-,,,"5,00,000.00","11,43,07,233.
05 Dr.",
S68555223,12-12-2024,"IMPS-
IN/434718352210/981
2025979/JINDAL I",-,,,"5,00,000.00","11,38,07,233.
05 Dr.",
S68575396,12-12-2024,"IMPS-
IN/434718352272/981
2025979/JINDAL I",-,,,"5,00,000.00","11,33,07,233.
05 Dr.",
S68816955,12-12-2024,"NRTGS/DBSSR5202
4121205632629/NAN
DKISHORE &
COMPANY",-,,,"2,52,822.00","11,30,54,411.
05 Dr.",
S69249466,12-12-2024,"NRTGS/YESBR1202
4121200023990/JIND
AL INDUSTRIES PR",-,,,"75,00,000.00","10,55,54,411.
05 Dr.",
S69357198,12-12-2024,"NRTGS/ICICR420241
21200556729/INFRA
CORPORATION",-,,,"16,56,898.00","10,38,97,513.
05 Dr.",
S69372945,12-12-2024,"NRTGS/ICICR420241
21200556774/INFRA
CORPORATION",-,,,"20,00,000.00","10,18,97,513.
05 Dr.",
S69377304,12-12-2024,"NRTGS/ICICR420241
21200556823/INFRA
CORPORATION",-,,,"3,29,322.00","10,15,68,191.
05 Dr.",
S69624910,12-12-2024,"NRTGS/HDFCR5202
4121270286944/GOE
L HARDWARE",-,,,"3,45,923.00","10,12,22,268.
05 Dr.",
S69677613,12-12-2024,"NRTGS/HDFCR5202
4121270286855/GOE
L HARDWARE",-,,,"9,15,000.00","10,03,07,268.
05 Dr.",
S69766858,12-12-2024,"NRTGS/HDFCR5202
4121270351488/GOE
L HARDWARE",-,,,"9,05,000.00","9,94,02,268.0
5 Dr.",
S70863492,12-12-2024,"NEFT_IN:IDFBH2434
7013293/0037/
SHANKARA
BUILDING
PRODUCTS LTD",-,,,"53,06,936.00","9,40,95,332.0
5 Dr.",
S71544908,12-12-2024,"IMPS-
IN/434719299093/701
5869792/PROJECT",-,,,"2,50,000.00","9,38,45,332.0
5 Dr.",
S74007552,12-12-2024,"NEFT_IN:HSBCN347
05491541/0039/
MOGLI LABS (INDIA)
PRIVATE LIMITED",-,,,"8,56,539.00","9,29,88,793.0
5 Dr.",
S74318797,12-12-2024,"NEFT_IN:001781601
168/0039/ R.K.
DISTRIBUTORS",-,,,"16,00,000.00","9,13,88,793.0
5 Dr.",
S74508706,12-12-2024,"NRTGS/IDFBR52024
121200485772/OXYZ
O FINANCIAL SERVI",-,,,"1,00,00,000.0
0","8,13,88,793.0
5 Dr.",
S80961585,12-12-2024,"NRTGS/PUNBR5202
4121216010900/5184
590141/JINDAL IND",-,,"2,00,00,000.0
0",,"10,13,88,793.
05 Dr.",
S80973730,12-12-2024,"NRTGS/PUNBR5202
4121216010903/5184
590515/JINDAL IND",-,,"1,50,00,000.0
0",,"11,63,88,793.
05 Dr.",
S88342358,13-12-2024,"NRTGS/HDFCR5202
4121370384773/KRIS
HNA METAL AND
STE",-,,,"2,45,746.00","11,61,43,047.
05 Dr.",
S89781025,13-12-2024,"IMPS-
IN/434810147961/935
5030004/BINDAL I",-,,,"40,000.00","11,61,03,047.
05 Dr.",
S91621569,13-12-2024,"NRTGS/PUNBR5202
4121316014895/5184
636093/STEEL AUTH",-,,"2,00,00,000.0
0",,"13,61,03,047.
05 Dr.",
S91662567,13-12-2024,"NRTGS/PUNBR5202
4121316014933/5184
636133/STEEL AUTH",-,,"1,10,00,000.0
0",,"14,71,03,047.
05 Dr.",
S92387272,13-12-2024,"NRTGS/SBINR12024
121368714796/GAJA
NAN PIPES AND
TUB",-,,,"13,66,155.00","14,57,36,892.
05 Dr.",
S95106889,13-12-2024,"NRTGS/UCBAR5202
4121300023241/RUD
RANAND TRADERS",-,,,"2,50,00,000.0
0","12,07,36,892.
05 Dr.",
S95473493,13-12-2024,"NEFT_IN:N34824345
3672808/0024/ ISHA
TUBES AND
STRUCTURES",-,,,"1,97,954.00","12,05,38,938.
05 Dr.",
S95516102,13-12-2024,"NRTGS/UCBAR5202
4121300023702/DUN
I CHAND RADHEY
SHY",-,,,"3,50,000.00","12,01,88,938.
05 Dr.",
S97366547,13-12-2024,"From:XXXX5260:RA
M PARKASH
CHOPRA AND
SONS",-,,,"5,54,124.00","11,96,34,814.
05 Dr.",
M574172,13-12-2024,"MS PRABH DAYAL
OM PARKASH
-351300","JALLANDHAR,OLD
RAILWAY ROAD",,,"18,17,328.00","11,78,17,486.
05 Dr.",
S98974918,13-12-2024,"NRTGS/CNRBR5202
4121395141480/SRE
EVATSA TUBES
PRIVA",-,,,"3,96,738.00","11,74,20,748.
05 Dr.",
S275442,13-12-2024,"NRTGS/UTIBR52024
121300355447/VIJAY
SALES CORPORATI",-,,,"12,41,591.00","11,61,79,157.
05 Dr.",
S618750,13-12-2024,"NRTGS/HDFCR5202
4121370534081/SIYA
TRADING COMPANY",-,,,"6,37,987.00","11,55,41,170.
05 Dr.",
S672365,13-12-2024,From:XXXX0818:,-,,,"12,36,021.00","11,43,05,149.
05 Dr.",
